"World","The Earth",7674575000
"Continent","Asia",4010000000
"Continent","Africa",944000000
"Continent","Europe",733000000
"Continent","North America",523000000
"Continent","South America",381000000
"Continent","Australia",34000000
"State Country","United States of America",324459463
"State Country","Federative Republic of Brazil",209288278
"State Country","United Mexican States",129163276
"State Country","Republic of Colombia",49065615
"State Country","Argentine Republic",44271041
"State Country","Canada",36624199
"State Country","Republic of Peru",32165485
"State Country","Bolivarian Republic of Venezuela",31977065
"State Country","Republic of Chile",18054726
"State Country","Republic of Guatemala",16913503
"State Country","Republic of Ecuador",16624858
"State Country","Republic of Cuba",11484636
"State Country","Plurinational state of Bolivia",11051600
"State Country","Republic of Haiti",10981229
"State Country","Dominican Republic",10766998
"State Country","Republic of Honduras",9265067
"State Country","Republic of Paraguay",6811297
"State Country","Republic of El Salvador",6377853
"State Country","Republic of Nicaragua",6217581
"State Country","Republic of Costa Rica",4905769
"State Country","Republic of Panama",4098587
"State Country","Eastern Republic of Uruguay",3456750
"State Country","Jamaica",2890299
"State Country","Republic of Trinidad and Tobago",1369125
"State Country","Cooperative Republic of Guyana",777859
"State Country","Republic of Suriname",563402
"State Country","Commonwealth of the Bahamas",395361
"State Country","Belize",374681
"State Country","Barbados",285719
"State Country","Saint Lucia",178844
"State Country","Saint Vincent and the Grenadines",109897
"State Country","State of Grenada",107825
"State Country","Antigua and Barbuda",102012
"State Country","Commonwealth of Dominica",73925
"State Country","Federation of St. Kitts and Nevis",55345
"Region or State","California",39557045
"Region or State","Texas",28701845
"Region or State","Florida",21299325
"Region or State","New York",19542209
"Region or State","Pennsylvania",12807060
"Region or State","Illinois",12741080
"Region or State","Ohio",11689442
"Region or State","Georgia",10519475
"Region or State","North Carolina",10383620
"Region or State","Michigan",9995915
"Region or State","New Jersey",8908520
"Region or State","Virginia",8517685
"Region or State","Washington",7535591
"Region or State","Arizona",7171646
"Region or State","Massachusetts",6902149
"Region or State","Tennessee",6770010
"Region or State","Indiana",6691878
"Region or State","Missouri",6126452
"Region or State","Maryland",6042718
"Region or State","Wisconsin",5813568
"Region or State","Colorado",5695564
"Region or State","Minnesota",5611179
"Region or State","South Carolina",5084127
"Region or State","Alabama",4887871
"Region or State","Louisiana",4659978
"Region or State","Kentucky",4468402
"Region or State","Oregon",4190713
"Region or State","Oklahoma",3943079
"Region or State","Connecticut",3572665
"Region or State","Utah",3161105
"Region or State","Iowa",3156145
"Region or State","Nevada",3034392
"Region or State","Arkansas",3013825
"Region or State","Mississippi",2986530
"Region or State","Kansas",2911505
"Region or State","New Mexico",2095428
"Region or State","Nebraska",1929268
"Region or State","West Virginia",1805832
"Region or State","Idaho",1754208
"Region or State","Hawaii",1420491
"Region or State","New Hampshire",1356458
"Region or State","Maine",1338404
"Region or State","Montana",1062305
"Region or State","Rhode Island",1057315
"Region or State","Delaware",967171
"Region or State","South Dakota",882235
"Region or State","North Dakota",760077
"Region or State","Alaska",737438
"Region or State","District of Columbia",702455
"Region or State","Vermont",626299
"Region or State","Wyoming",577737
"Metropolitan Statistical Area","New York - Newark - Jersey City, NY-NJ-PA",19303808
